timestamp_ms,throttle,rudder,duty_left,duty_right,rpm_left_hz10,rpm_right_hz10,active_blocks_l,active_blocks_r,mean_is_l,mean_is_r,latch_resets,vbat_mv,pi_integral_l,pi_integral_r,pi_meas_ema_l
35111,0,0,0,0,0,0,0,0,164,174,0,6429,0,0,0
35151,0,0,0,0,0,0,0,0,177,158,0,6332,0,0,0
35191,0,0,0,0,0,0,0,0,162,168,0,6267,0,0,0
35231,0,0,0,0,0,0,0,0,170,148,0,6397,0,0,0
35271,0,0,0,0,0,0,0,0,172,162,0,6193,0,0,0
35312,0,0,0,0,0,0,0,0,162,168,0,5966,0,0,0
35351,0,0,0,0,0,0,0,0,172,151,0,6316,0,0,0
35391,0,0,0,0,0,0,0,0,169,165,0,6389,0,0,0
35431,0,0,0,0,0,0,0,0,165,164,0,6389,0,0,0
35471,0,0,0,0,0,0,0,0,169,169,0,6299,0,0,0
35511,0,0,0,0,0,0,0,0,172,160,0,6340,0,0,0
35551,0,0,0,0,0,0,0,0,172,170,0,6291,0,0,0
35591,0,0,0,0,0,0,0,0,157,172,0,6372,0,0,0
